city,code,air_name,air_pinyin
阿尔发,ABH,,ALPHA
阿比林,ABI,,ABILENE
阿比让,ABJ,,ABIDJAN
卡卜里达尔,ABK,,KABRIDAR
安布勒,ABL,,AMBLER
巴马加,ABM,,BAMAGA
阿尔比纳,ABN,,ALBINA
阿博伊索,ABO,,ABOISSO
ATKAMBA,ABP,,ATKAMBA
ALBUQUERQU,ABQ,,ALBUQUERQU
阿伯丁,ABR,,ABERDEEN
阿布辛拜勒,ABS,,ABUSIMBEL
AL-BAHAALAQI,ABT,,AL-BAHAALAQIQ
ATAMBUAHALIW,ABU,,ATAMBUAHALIWEN
阿布贾,ABV,,ABUJA
阿包,ABW,,ABAU
ALBURY,ABX,,ALBURY
ALBANYGA,ABY,,ALBANYGA
阿卡普尔科,ACA,,ACAPULCO
BELLAIREANTR,ACB,,BELLAIREANTRIMCTY
阿克拉,ACC,,ACCRA
阿坎迪,ACD,,ACANDI
LANZAROTE,ACE,,LANZAROTE
阿尔滕莱茵,ACH,,ALTENRHEIN
ALDERNEYBLAY,ACI,,ALDERNEYBLAYE
楠塔基特岛,ACK,,NANTUCKET
AGUACLARA,ACL,,AGUACLARA
阿利卡,ACM,,ARICA
CIUDADACUNAI,ACN,,CIUDADACUNAINTL
ASCONA,ACO,,ASCONA
阿拉拉夸拉,ACR,,ARARACUARA
ACHINSK,ACS,,ACHINSK
韦科,ACT,,WACO
ACHUTUPO,ACU,,ACHUTUPO
ARCATA,ACV,,ARCATA
ATLANTICCITY,ACY,,ATLANTICCITYINTL
阿达纳,ADA,,ADANA
伊兹密尔,ADB,,IZMIR
亚丁,ADE,,ADEN
阿德里安,ADG,,ADRIANLENAWEE
阿尔丹河,ADH,,ALDAN
安科那,ADI,,ANCONA
ADAKISLAND,ADK,,ADAKISLAND
阿德莱德,ADL,,ADELAIDE
ARDMOREMUNIC,ADM,,ARDMOREMUNICIPAL
安第斯,ADN,安第斯山脉,ANDES
安达穆卡,ADO,,ANDAMOOKA
阿努拉德普勒,ADP,,ANURADHAPURA
KODIAK,ADQ,,KODIAK
安德鲁斯,ADR,,ANDREWS
DALLASADDISO,ADS,,DALLASADDISONAIRPORT
ADAMUNICIPAL,ADT,,ADAMUNICIPAL
安多弗,ADV,,ANDOVER
佬沃,LAO,佬沃机场,LAOAG
ST.ANDREWSLE,ADX,,ST.ANDREWSLEUCHARS
奥尔代斯,ADY,,ALLDAYS
SANANDRESISL,ADZ,,SANANDRESISLAND
阿贝马马环礁,AEA,,ABEMAMA
AEKGODANG,AEG,,AEKGODANG
阿贝歇,AEH,,ABECHER
ASEKI,AEK,,ASEKI
ALBERTLEA,AEL,,ALBERTLEA
AIOUNELATROU,AEO,,AIOUNELATROUSS
阿德列尔,AER,,ADLER
AALESUNDVIGR,AES,,AALESUNDVIGRA
ALLAKAKET,AET,,ALLAKAKET
ALEXANDRIAEN,AEX,,ALEXANDRIAENGLANDAFB
阿克雷伊,AEY,,AKUREYRI
